模块,需求描述,详细描述,业务价值,优先级
模型平台,敏感词拦截‑模型平台,在模型平台增加敏感词拦截能力，对用户输入的提示词、素材文本等内容做敏感检测，命中敏感词直接拦截，拒绝执行生成任务，返回拦截提示。,规避内容合规风险，减少违规内容生成，降低平台审核、风控成本，保障平台安全稳定运行。,高
主体设置,新增删除的功能,主体设置模块，补充主体条目删除能力，支持用户对无用、过期的主体数据进行删除操作，删除增加二次确认弹窗，防止误删。,清理无效主体数据，减少列表冗余，提升用户主体管理操作便捷度。,中
主体设置,新增角色里面需要新增音频参考,主体 - 角色配置页面，增加音频参考上传 / 录入能力，支持上传参考音频，用于角色语音音色参考，驱动角色配音效果贴合参考音频。,丰富角色语音能力，用户可自定义角色音色，提升角色配音真实度，提高视频生成效果与用户体验。,高
主体设置,新增分辨率配置,主体设置模块增加分辨率配置项，可针对主体预设视频生成分辨率参数，生成视频时可直接继承主体预设分辨率。,减少用户重复设置操作，主体维度固化输出规格，统一同一主体产出视频画面规格，提升操作效率。,中
主体设置,站外的上传图片，文字描述支持不必填项,主体设置上传站外图片场景，图片对应的文字描述字段调整为非必填，用户不上传描述文本也可完成图片上传保存。,降低用户上传素材操作门槛，减少必填字段带来的操作阻碍，提升素材上传的操作流畅度。,中
主体设置,生成主体图片，改成异步生成,主体图片生成改为异步任务模式，提交生成请求后页面不用阻塞等待，后台执行图片生成，生成完成后通知用户查看结果。,解决大图生成耗时久页面卡顿、超时报错问题，提升页面稳定性，用户可继续做其他操作，改善使用体验。,高
分镜视频,批量生视频的时候，显示生成失败的原因,分镜视频批量生成场景，失败条目展示具体失败原因，例如参数错误、算力不足、内容拦截、素材异常等，给到用户明确提示。,用户可以快速定位批量生成失败问题，不用反复排查，降低客服咨询量，提升问题排查效率。,高
分镜视频,分辨率默认选择用户上一次选择的记录,分镜视频分辨率下拉框，记忆用户上一次选择的分辨率，打开页面默认回填上次选择值，而不是固定默认值。,减少用户重复选择操作，贴合用户使用习惯，提升操作效率。,低
分镜视频,生视频之前的文本格式转换的算力豆默认加在视频消耗上,视频生成前置的文本格式转换产生的算力豆消耗，统一合并计入视频生成消耗项，不再单独拆分计费。,统一计费口径，用户账单消耗明细更清晰，减少用户对零散扣费的疑问，降低用户计费相关投诉。,中
分镜视频,分镜配置样式布局调整,对分镜配置页面 UI 布局、组件样式进行优化调整，优化控件排布、间距、排版，提升页面视觉美观度与操作交互体验。,优化页面交互观感，降低用户操作学习成本，提升产品整体体验。,低
首页,热门题材可以屏蔽用户扣除算力豆，默认平台损耗,首页热门题材生成场景，支持配置开关，开启后该场景生成不扣用户算力豆，消耗由平台承担。,用于平台活动引流，降低用户试用门槛，拉动新用户体验转化，运营可做免费体验活动。,中
会员中心,充值记录,会员中心新增充值记录页面，展示用户全部充值订单，包含充值时间、金额、购买套餐、到账算力豆、订单状态等信息，支持列表查询。,用户可以自主核对充值账单，减少充值对账类客服问题，提升用户资金消费透明度。,高
